"ITTER107","Territorio","TIPO_DATO_PIL_SEC2010","Tipo aggregato","VAL","Valutazione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",1736601.8,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",1765421.4,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",1724689.2,,
"IT","Italia","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",1750049.1,,
"IT","Italia","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",1557832.8,,
"IT","Italia","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",1583357.5,,
"IT","Italia","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",1551374,,
"IT","Italia","B1G_B_W2_S1","valore aggiunto ","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",1571997.4,,
"IT","Italia","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",178769,,
"IT","Italia","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",182064,,
"IT","Italia","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",173315.2,,
"IT","Italia","D21X31_C_W2_S1","imposte al netto dei contributi ai prodotti","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",178051.7,,
"ITCDE","Centro-nord","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",1348282.1,,
"ITCDE","Centro-nord","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2018","2018",1372106,,
"ITCDE","Centro-nord","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2017","2017",1341332.4,,
"ITCDE","Centro-nord","B1GQ_B_W2_S1","prodotto interno lordo ai prezzi di mercato","Y","prezzi dell'anno precedente","N","dati grezzi","2020M1","Gen-2020","2018","2018",1360573.7,,
"ITCDE","Centro-nord","B1G_B_W2_S1","valore aggiunto ","V","prezzi correnti","N","dati grezzi","2020M1","Gen-2020","2017","2017",1206654.9,,
