"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","E_BROAD2_PERC","imrese con connessione in banda larga fissa o mobile (incidenza %)","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",99.89,,
"ITC1","Piemonte","E_BROAD_PERC","banda larga fissa (DSL e altra fissa in banda larga) ","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",97.55,,
"ITC1","Piemonte","E_PMD_PERC","imprese che forniscono agli addetti dispositivi portatili e connessioni mobili a Internet per scopi lavorativi (incidenza %)","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",65.49,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_BROAD2_PERC","imrese con connessione in banda larga fissa o mobile (incidenza %)","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",99.53,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_BROAD_PERC","banda larga fissa (DSL e altra fissa in banda larga) ","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",99.09,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","E_PMD_PERC","imprese che forniscono agli addetti dispositivi portatili e connessioni mobili a Internet per scopi lavorativi (incidenza %)","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",49.22,,
"ITC3","Liguria","E_BROAD2_PERC","imrese con connessione in banda larga fissa o mobile (incidenza %)","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",98.72,,
"ITC3","Liguria","E_BROAD_PERC","banda larga fissa (DSL e altra fissa in banda larga) ","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",96.76,,
"ITC3","Liguria","E_PMD_PERC","imprese che forniscono agli addetti dispositivi portatili e connessioni mobili a Internet per scopi lavorativi (incidenza %)","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",63.38,,
"ITC4","Lombardia","E_BROAD2_PERC","imrese con connessione in banda larga fissa o mobile (incidenza %)","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",98.92,,
"ITC4","Lombardia","E_BROAD_PERC","banda larga fissa (DSL e altra fissa in banda larga) ","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",96.76,,
"ITC4","Lombardia","E_PMD_PERC","imprese che forniscono agli addetti dispositivi portatili e connessioni mobili a Internet per scopi lavorativi (incidenza %)","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",70.07,,
"ITDA","Trentino Alto Adige / Südtirol","E_BROAD2_PERC","imrese con connessione in banda larga fissa o mobile (incidenza %)","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",99.75,,
"ITDA","Trentino Alto Adige / Südtirol","E_BROAD_PERC","banda larga fissa (DSL e altra fissa in banda larga) ","0035","totale attività economiche (c-n, inclusa la 951, escluse 75 e k)","W_GE10","10 e più","2020","2020",94.91,,
