"","Regione","gdp_Value","mean_d","mean_u"
"1","Abruzzo",32898.4,26837.7883035487,9071.29524858135
"2","Basilicata",12901.9,28097.5520981703,10149.2144187575
"3","Calabria",33443.9,30003.0114678134,9838.00570057006
"4","Campania",109504.1,30090.8561757304,10851.7266399057
"5","Emilia-Romagna",163994.2,31880.1654253795,11405.4469922658
"6","Friuli-Venezia Giulia",38735.4,29369.6370961145,9727.60527607362
"7","Lazio",200931,30584.1870068905,10933.8015709787
"8","Liguria",49897.5,34298.1430973857,11927.7424960506
"9","Lombardia",400744.3,36018.1499312795,13377.8425456328
"10","Marche",42137.4,25424.3743494752,7731.13433889036
"11","Molise",6405.8,22686.7321083172,6819.88311688312
"12","Piemonte",138010.3,27185.76555384,9111.58776971883
"13","Puglia",76072.4,30658.3135875271,10986.8931180058
"14","Sardegna",34916.3,27632.9166970755,10880.0560392014
"15","Sicilia",89024.8,33887.2516444312,12103.2298673306
"16","Toscana",119014,26992.0900624794,8418.71387043736
"17","Umbria",23144.8,30053.1542282854,10702.2191906454
"18","Veneto",165253.6,28607.3015745856,9448.52781767956
